,연도,회사,이름,가격(만 원)
0,2019,현대,코나 일렉트릭,4750.0
1,2019,기아, 쏘울 부스터 EV,4730.0
2,2019,기아, 니로 EV,4880.0
3,2019,현대, 아이오닉 일렉트릭,4290.0
4,2019,르노,SM3 Z.E,3800.0
5,2019,현대,코나 일렉트릭,4700.0
6,2019,쉐보레, 볼트 EV,4690.0
7,2019,기아, 소울 EV,4280.0
8,2019,재규어,i페이스,9500.0
9,2020,현대,아이오닉 일렉트릭,4290.0
10,2020,현대, 코나 일렉트릭,4790.0
11,2020,현대, 포터 일렉트릭,4167.0
12,2020,기아, 니로EV,5102.0
13,2020,기아, 쏘울EV,4716.0
14,2020,기아, 봉고 일렉트릭,4137.5
15,2020,쉐보레, 볼트EV,4703.5
16,2020,르노, SM ZE,3904.0
17,2020,르노, 르노 조에,4195.0
18,2020,벤츠, EQC,9782.0
19,2020,BMW, BMW i,6250.0
20,2020,아우디, 이트론 (e-tron),11492.8
21,2020,재규어, I-PACE (아이 페이스),11350.0
22,2020,포르쉐, 포르쉐 타이칸,18635.0
23,2020,테슬라, 테슬라 모델S,14706.8
24,2020,테슬라, 테슬라 모델,6479.0
25,2020,테슬라, 테슬라 모델X,12599.0
26,2021,현대,아이오닉5,5216.0
27,2021,현대,포터2 일렉트릭,4313.5
28,2021,푸조,208,4390.0
29,2021,포르쉐,Taycan,18070.0
30,2021,테슬라,ModelS,14499.0
31,2021,테슬라,Model3,6479.0
32,2021,테슬라,ModelY,6999.0
33,2021,테슬라,ModelX,14499.0
34,2021,제네시스,eG80,8281.0
35,2021,재규어,I-Pace,12320.0
36,2021,아우디,e-tron,10649.5
37,2021,쉐보레,볼트EV,4703.5
38,2021,쉐보레,볼트EUV,4490.0
39,2021,벤츠,EQC,9560.0
40,2021,벤츠,EQA,6390.0
41,2021,마이브,M1,1650.0
42,2021,르노,조에,4195.0
43,2021,르노,트위지,1380.0
44,2021,대창모터스,다니고EV밴,3600.0
45,2021,대창모터스,다니고Ⅲ,1880.0
46,2021,대창모터스,다니고Ⅰ,1490.0
47,2021,기아,EV6,5808.5
48,2021,기아,봉고3 EV,4225.5
49,2021,기아,니로,4785.0
50,2021,SMART EV,Z,2750.0
51,2021,SMART EV,D2P,1980.0
52,2021,SMART EV,D2C,1980.0
53,2021,BMW,i3,6280.0
54,2022,현대,포터2,3209.0
55,2022,현대,아이오닉5,5307.5
56,2022,현대,아이오닉 6,5784.5
57,2022,현대,카운티,14235.0
58,2022,푸조,2008,4545.0
59,2022,푸조,208,5100.0
60,2022,폴스타,Polestar 2,5740.0
61,2022,포르쉐,Taycan,18070.0
62,2022,테슬라,Model 3,8226.0
63,2022,테슬라,Model Y,10069.0
64,2022,테슬라,Model X,14999.0
65,2022,테슬라,Model S,14999.0
66,2022,제네시스,GV70,6118.0
67,2022,제네시스,G80,6796.0
68,2022,제네시스,GV60,6483.0
69,2022,이비온,E6,12000.0
70,2022,아우디,e-tron,11949.5
71,2022,아우디,e-tron GT,17482.0
72,2022,쎄보모빌리티,CEVO-C SE,1570.0
73,2022,쌍용,코란도 이모션,4135.0
74,2022,쉐보레,볼트 EV,4280.0
75,2022,쉐보레,볼트 EUV,4737.5
76,2022,볼보,XC40 Recharge,6296.0
77,2022,볼보,New XC40Recharge,6388.0
78,2022,볼보,C40 Recharge,6391.0
79,2022,벤츠,EQA,6390.0
80,2022,벤츠,EQB,7525.0
81,2022,벤츠,EQC,9590.0
82,2022,벤츠,EQS,15995.0
83,2022,미니,Electric,4890.0
84,2022,마이브,M1,1892.0
85,2022,렉서스,UX,5100.0
86,2022,디피코,포트로,2192.0
87,2022,대창모터스,다니고Ⅲ,1880.0
88,2022,대창모터스,다니고 EV밴,3680.0
89,2022,대창모터스,다니고-C,3980.0
90,2022,대창모터스,다니고-T,3980.0
91,2022,기아,봉고 3,3827.0
92,2022,기아,니로,3785.0
93,2022,기아,니로 플러스,4555.5
94,2022,기아,EV6,5808.5
95,2022,SMART,EV D2P,1980.0
96,2022,SMART,EV D2C,1980.0
97,2022,SMART,EV Z,2750.0
98,2022,EVKMC,마사다 픽업,4149.5
99,2022,EVKMC,마사다 밴,3880.0
100,2022,DS,DS3 Crossback,5060.0
101,2022,BMW,i3,5430.0
102,2022,BMW,i4,7600.0
103,2022,BMW,iX3,7730.0
104,2022,BMW,iX,13525.0
